name,ret_pct,alpha_pct,mdd_pct,c_pf,p_pf,close_short_pnl,stop_short_pnl,hard_stop_short_pnl,trend_ss100_spot_loss,trend_ss100_spot_pnl,trades
K_hardstop_28,956.53,97008.0,-8.14,1.06,2.35,-36615.6,-74433.76,-117423.99,-56124.43,-14576.85,860
L_hardstop_35,958.55,97211.0,-8.14,1.01,2.3,-52754.9,-174910.08,-32641.48,-56385.04,-14605.18,867
F_gate_lvt15,949.48,96303.0,-8.12,1.03,2.3,-48022.71,-141014.39,-67815.23,-55778.96,-14346.47,861
A_base,949.28,96283.0,-8.12,1.03,2.3,-49171.22,-141014.39,-67815.23,-55782.43,-14346.99,861
G_gate_lvt25,948.47,96202.0,-8.12,1.03,2.3,-48723.74,-140800.1,-67815.23,-55713.23,-14373.73,861
H_gate_neu_lvt25,914.13,92768.0,-8.03,1.04,2.3,-46598.58,-157820.74,-57702.53,-51752.05,-10941.97,835
I_gate_neu_lvt25_cap25,880.82,89438.0,-8.65,1.04,2.24,-46616.94,-157820.74,-57702.53,-63382.79,-17914.42,852
C_cap25,908.45,92201.0,-8.73,1.03,2.2,-49190.48,-141014.39,-67815.23,-66022.62,-20545.3,877
B_cap20,899.64,91319.0,-8.84,1.02,2.13,-49203.28,-141014.39,-67815.23,-72897.61,-22002.22,879
D_confirm100x3,911.66,92521.0,-8.03,1.03,2.11,-49171.22,-141014.39,-67815.23,-46200.5,-27858.24,855
J_gate_neu_lvt25_cap25_confirm,857.17,87072.0,-8.61,1.04,2.09,-46500.38,-157820.74,-57702.53,-43896.42,-26481.19,840
E_confirm100x3_cap25,885.38,89894.0,-8.7,1.03,2.06,-49156.49,-141014.39,-67815.23,-43828.81,-26688.8,865
